serie,modelo,repeticao,mae,qtd_deteccoes
BVSP,LOR - unique - 3 - lags,1,0.015519360734835284,15
BVSP,LOR - unique - 3 - lags,2,0.015747481441972994,11
BVSP,LOR - unique - 3 - lags,3,0.01644349192559378,12
BVSP,LOR - unique - 3 - lags,4,0.015755739853339296,12
BVSP,LOR - unique - 3 - lags,5,0.015504259259890407,13
BVSP,LOR - unique - 3 - lags,6,0.015526863072119371,14
BVSP,LOR - unique - 3 - lags,7,0.01567606793760257,13
BVSP,LOR - unique - 3 - lags,8,0.01576755360283707,13
BVSP,LOR - unique - 3 - lags,9,0.01563006858773687,12
BVSP,LOR - unique - 3 - lags,10,0.015725005466094948,13
BVSP,LOR - unique - 3 - lags,11,0.01584712502030039,13
BVSP,LOR - unique - 3 - lags,12,0.015680529452931535,14
BVSP,LOR - unique - 3 - lags,13,0.015506070451715006,14
BVSP,LOR - unique - 3 - lags,14,0.01570630168528622,12
BVSP,LOR - unique - 3 - lags,15,0.01600645528126325,13
BVSP,LOR - unique - 3 - lags,16,0.01649806916423131,11
BVSP,LOR - unique - 3 - lags,17,0.015839734803697613,13
BVSP,LOR - unique - 3 - lags,18,0.015514548170770193,15
BVSP,LOR - unique - 3 - lags,19,0.01581657090654436,14
BVSP,LOR - unique - 3 - lags,20,0.016310572922070492,13
BVSP,LOR - unique - 3 - lags,21,0.01563100416942172,13
BVSP,LOR - unique - 3 - lags,22,0.015561623278063649,16
BVSP,LOR - unique - 3 - lags,23,0.015603776433891785,12
BVSP,LOR - unique - 3 - lags,24,0.015505548616182922,15
BVSP,LOR - unique - 3 - lags,25,0.01545154108270293,15
BVSP,LOR - unique - 3 - lags,26,0.015888443327877717,13
BVSP,LOR - unique - 3 - lags,27,0.01565264684836056,13
BVSP,LOR - unique - 3 - lags,28,0.015772226667924924,14
BVSP,LOR - unique - 3 - lags,29,0.015600325983821087,14
BVSP,LOR - unique - 3 - lags,30,0.015864555198424817,12
BVSP,LOR - incremental - 3 - lags,1,0.01641604312512124,15
BVSP,LOR - incremental - 3 - lags,2,0.01631020245161004,11
BVSP,LOR - incremental - 3 - lags,3,0.017068478155199587,12
BVSP,LOR - incremental - 3 - lags,4,0.01655343920191844,12
BVSP,LOR - incremental - 3 - lags,5,0.016765010254827805,13
BVSP,LOR - incremental - 3 - lags,6,0.016157660208842982,14
BVSP,LOR - incremental - 3 - lags,7,0.017204799034497505,13
BVSP,LOR - incremental - 3 - lags,8,0.016763382837059117,13
BVSP,LOR - incremental - 3 - lags,9,0.01617068774362393,12
BVSP,LOR - incremental - 3 - lags,10,0.016298292588905642,13
BVSP,LOR - incremental - 3 - lags,11,0.017970187180974047,13
BVSP,LOR - incremental - 3 - lags,12,0.016269476894892904,14
BVSP,LOR - incremental - 3 - lags,13,0.016983876003934854,14
BVSP,LOR - incremental - 3 - lags,14,0.01627227275872405,12
BVSP,LOR - incremental - 3 - lags,15,0.016770007630561627,13
BVSP,LOR - incremental - 3 - lags,16,0.017490442630833665,11
BVSP,LOR - incremental - 3 - lags,17,0.017094609276301614,13
BVSP,LOR - incremental - 3 - lags,18,0.016560313947869703,15
BVSP,LOR - incremental - 3 - lags,19,0.01642277063042817,14
BVSP,LOR - incremental - 3 - lags,20,0.016689463679703618,13
BVSP,LOR - incremental - 3 - lags,21,0.016186408282830637,13
BVSP,LOR - incremental - 3 - lags,22,0.016474022622484024,16
BVSP,LOR - incremental - 3 - lags,23,0.016554465947217035,12
BVSP,LOR - incremental - 3 - lags,24,0.017637938662411763,15
BVSP,LOR - incremental - 3 - lags,25,0.016251661087918274,15
BVSP,LOR - incremental - 3 - lags,26,0.01666516729764632,13
BVSP,LOR - incremental - 3 - lags,27,0.016183123170787985,13
BVSP,LOR - incremental - 3 - lags,28,0.01696753454011325,14
BVSP,LOR - incremental - 3 - lags,29,0.01706948990358311,14
BVSP,LOR - incremental - 3 - lags,30,0.017466998968793546,12
serie,modelo,repeticao,mae,qtd_deteccoes
BVSP,LR + KSWIN - 3 - lags,1,0.01593692322725326,15
BVSP,LR + KSWIN - 3 - lags,2,0.016155526778533675,11
BVSP,LR + KSWIN - 3 - lags,3,0.01749227344181326,12
BVSP,LR + KSWIN - 3 - lags,4,0.016323610541498043,12
BVSP,LR + KSWIN - 3 - lags,5,0.015940135825866848,13
BVSP,LR + KSWIN - 3 - lags,6,0.015997597018412052,14
BVSP,LR + KSWIN - 3 - lags,7,0.016275594810980065,14
BVSP,LR + KSWIN - 3 - lags,8,0.016270875589230998,13
BVSP,LR + KSWIN - 3 - lags,9,0.016259133875771,12
BVSP,LR + KSWIN - 3 - lags,10,0.016293299491764418,13
BVSP,LR + KSWIN - 3 - lags,11,0.016319510933602645,13
BVSP,LR + KSWIN - 3 - lags,12,0.01635103051177095,14
BVSP,LR + KSWIN - 3 - lags,13,0.01578451274826073,14
BVSP,LR + KSWIN - 3 - lags,14,0.016185379524211414,12
BVSP,LR + KSWIN - 3 - lags,15,0.01651652484428476,13
BVSP,LR + KSWIN - 3 - lags,16,0.017433176749526144,11
BVSP,LR + KSWIN - 3 - lags,17,0.016524352584890555,13
BVSP,LR + KSWIN - 3 - lags,18,0.016024178681717575,15
BVSP,LR + KSWIN - 3 - lags,19,0.016592926441912292,14
BVSP,LR + KSWIN - 3 - lags,20,0.0172447161779384,13
BVSP,LR + KSWIN - 3 - lags,21,0.016203604738200598,13
BVSP,LR + KSWIN - 3 - lags,22,0.016216568275647773,16
BVSP,LR + KSWIN - 3 - lags,23,0.01608929336570082,12
BVSP,LR + KSWIN - 3 - lags,24,0.016081594103778317,15
BVSP,LR + KSWIN - 3 - lags,25,0.01654503850117057,14
BVSP,LR + KSWIN - 3 - lags,26,0.01640602754008412,13
BVSP,LR + KSWIN - 3 - lags,27,0.016263821979880626,13
BVSP,LR + KSWIN - 3 - lags,28,0.01649271054511119,14
BVSP,LR + KSWIN - 3 - lags,29,0.01600904043593622,14
BVSP,LR + KSWIN - 3 - lags,30,0.016506273068159372,12
BVSP,LOR - unique - 5 - lags,1,0.015588361135182312,13
BVSP,LOR - unique - 5 - lags,2,0.015937528903725653,11
BVSP,LOR - unique - 5 - lags,3,0.015596015795391159,12
BVSP,LOR - unique - 5 - lags,4,0.015654921130969387,12
BVSP,LOR - unique - 5 - lags,5,0.015748704355180394,12
BVSP,LOR - unique - 5 - lags,6,0.015593494896122207,15
BVSP,LOR - unique - 5 - lags,7,0.015552407412381451,14
BVSP,LOR - unique - 5 - lags,8,0.015702646299402823,12
BVSP,LOR - unique - 5 - lags,9,0.01561057110815788,13
BVSP,LOR - unique - 5 - lags,10,0.015597331530948813,13
BVSP,LOR - unique - 5 - lags,11,0.016106071295859278,10
BVSP,LOR - unique - 5 - lags,12,0.015577006106960665,13
BVSP,LOR - unique - 5 - lags,13,0.0160333798102632,11
BVSP,LOR - unique - 5 - lags,14,0.015645618832640554,15
BVSP,LOR - unique - 5 - lags,15,0.015608472385061935,13
BVSP,LOR - unique - 5 - lags,16,0.015813942645441555,12
BVSP,LOR - unique - 5 - lags,17,0.015858811970886337,13
BVSP,LOR - unique - 5 - lags,18,0.015741009266690715,10
BVSP,LOR - unique - 5 - lags,19,0.015646447449489568,11
BVSP,LOR - unique - 5 - lags,20,0.015663583810426936,12
BVSP,LOR - unique - 5 - lags,21,0.015571787967759914,15
BVSP,LOR - unique - 5 - lags,22,0.01565356665099645,13
BVSP,LOR - unique - 5 - lags,23,0.015847419008216096,13
BVSP,LOR - unique - 5 - lags,24,0.015480706826523093,14
BVSP,LOR - unique - 5 - lags,25,0.015665735581961496,15
BVSP,LOR - unique - 5 - lags,26,0.015758169326608878,12
BVSP,LOR - unique - 5 - lags,27,0.016128644375788644,12
BVSP,LOR - unique - 5 - lags,28,0.01565050370675651,12
BVSP,LOR - unique - 5 - lags,29,0.015956255060952752,13
BVSP,LOR - unique - 5 - lags,30,0.015472153931774082,13
BVSP,LOR - incremental - 5 - lags,1,0.01652929964401943,13
BVSP,LOR - incremental - 5 - lags,2,0.016571539134280697,11
BVSP,LOR - incremental - 5 - lags,3,0.016465181496375988,12
BVSP,LOR - incremental - 5 - lags,4,0.01641408675185133,12
BVSP,LOR - incremental - 5 - lags,5,0.06013792177323106,12
BVSP,LOR - incremental - 5 - lags,6,0.01653393761235576,15
BVSP,LOR - incremental - 5 - lags,7,0.016733751918690365,14
BVSP,LOR - incremental - 5 - lags,8,0.0169035843815662,12
BVSP,LOR - incremental - 5 - lags,9,0.016659740080935945,13
BVSP,LOR - incremental - 5 - lags,10,0.016527664942338996,13
BVSP,LOR - incremental - 5 - lags,11,0.018201016313219062,10
BVSP,LOR - incremental - 5 - lags,12,0.01642385298816421,13
BVSP,LOR - incremental - 5 - lags,13,0.01790813126316865,11
BVSP,LOR - incremental - 5 - lags,14,0.016855031716096,15
BVSP,LOR - incremental - 5 - lags,15,0.01657102795564982,13
BVSP,LOR - incremental - 5 - lags,16,0.01769282968455198,12
BVSP,LOR - incremental - 5 - lags,17,0.017055612446931954,13
BVSP,LOR - incremental - 5 - lags,18,0.01661157359601784,10
BVSP,LOR - incremental - 5 - lags,19,0.0166556150258462,11
BVSP,LOR - incremental - 5 - lags,20,0.060039230567503946,12
BVSP,LOR - incremental - 5 - lags,21,0.017318294224185828,15
BVSP,LOR - incremental - 5 - lags,22,0.024049381853557414,13
BVSP,LOR - incremental - 5 - lags,23,0.017179626683034247,13
BVSP,LOR - incremental - 5 - lags,24,0.016986801728928476,14
BVSP,LOR - incremental - 5 - lags,25,0.017272477377482463,15
BVSP,LOR - incremental - 5 - lags,26,0.016622276945729084,12
BVSP,LOR - incremental - 5 - lags,27,0.016857895759699173,12
BVSP,LOR - incremental - 5 - lags,28,0.01650959025026414,12
BVSP,LOR - incremental - 5 - lags,29,0.017274479244097758,13
BVSP,LOR - incremental - 5 - lags,30,0.01656638958100405,13
BVSP,LR + KSWIN - 5 - lags,1,0.016078416389363616,13
BVSP,LR + KSWIN - 5 - lags,2,0.01629784271526111,11
BVSP,LR + KSWIN - 5 - lags,3,0.0159433444832024,12
BVSP,LR + KSWIN - 5 - lags,4,0.016223775472716376,12
BVSP,LR + KSWIN - 5 - lags,5,0.01615800257292922,12
BVSP,LR + KSWIN - 5 - lags,6,0.016242122573000842,15
BVSP,LR + KSWIN - 5 - lags,7,0.01595368339973946,14
BVSP,LR + KSWIN - 5 - lags,8,0.016454699727002902,12
BVSP,LR + KSWIN - 5 - lags,9,0.0162039357498123,13
BVSP,LR + KSWIN - 5 - lags,10,0.016130491804847203,13
BVSP,LR + KSWIN - 5 - lags,11,0.01691323579823792,10
BVSP,LR + KSWIN - 5 - lags,12,0.015918760242373785,13
BVSP,LR + KSWIN - 5 - lags,13,0.01645721027036329,11
BVSP,LR + KSWIN - 5 - lags,14,0.016359342249022604,15
BVSP,LR + KSWIN - 5 - lags,15,0.0161269955408261,13
BVSP,LR + KSWIN - 5 - lags,16,0.016320068204829525,12
BVSP,LR + KSWIN - 5 - lags,17,0.0163416683875106,13
BVSP,LR + KSWIN - 5 - lags,18,0.016082949928061016,10
BVSP,LR + KSWIN - 5 - lags,19,0.016166343035969984,11
BVSP,LR + KSWIN - 5 - lags,20,0.015986799983397762,12
BVSP,LR + KSWIN - 5 - lags,21,0.016130548573833125,15
BVSP,LR + KSWIN - 5 - lags,22,0.01612951795021605,13
BVSP,LR + KSWIN - 5 - lags,23,0.016687587409966897,13
BVSP,LR + KSWIN - 5 - lags,24,0.015829009235763327,14
BVSP,LR + KSWIN - 5 - lags,25,0.016330563050195153,14
BVSP,LR + KSWIN - 5 - lags,26,0.016119924596396273,12
BVSP,LR + KSWIN - 5 - lags,27,0.016970704476155667,12
BVSP,LR + KSWIN - 5 - lags,28,0.01612653215335537,12
BVSP,LR + KSWIN - 5 - lags,29,0.016372637944419222,13
BVSP,LR + KSWIN - 5 - lags,30,0.01573843523136542,13
BVSP,LOR - unique - 10 - lags,1,0.01568633444177264,13
BVSP,LOR - unique - 10 - lags,2,0.015511169846277382,15
BVSP,LOR - unique - 10 - lags,3,0.015780802135258162,15
BVSP,LOR - unique - 10 - lags,4,0.01565172920731084,14
BVSP,LOR - unique - 10 - lags,5,0.01581392096945101,14
BVSP,LOR - unique - 10 - lags,6,0.015797454665549774,14
BVSP,LOR - unique - 10 - lags,7,0.015589730282619367,13
BVSP,LOR - unique - 10 - lags,8,0.016123540045150823,12
BVSP,LOR - unique - 10 - lags,9,0.01575366671016366,13
BVSP,LOR - unique - 10 - lags,10,0.016723533687640568,11
BVSP,LOR - unique - 10 - lags,11,0.01645166136000326,11
BVSP,LOR - unique - 10 - lags,12,0.015642019192843106,14
BVSP,LOR - unique - 10 - lags,13,0.015943880269918054,13
BVSP,LOR - unique - 10 - lags,14,0.01607955225672345,12
BVSP,LOR - unique - 10 - lags,15,0.015582543096626935,14
BVSP,LOR - unique - 10 - lags,16,0.016046681300422656,13
BVSP,LOR - unique - 10 - lags,17,0.015763609588558634,15
BVSP,LOR - unique - 10 - lags,18,0.015752067312821073,13
BVSP,LOR - unique - 10 - lags,19,0.015804931775311337,14
BVSP,LOR - unique - 10 - lags,20,0.016318377359880072,13
BVSP,LOR - unique - 10 - lags,21,0.01587308997838777,11
BVSP,LOR - unique - 10 - lags,22,0.01566429759269713,14
BVSP,LOR - unique - 10 - lags,23,0.01600704020993133,13
BVSP,LOR - unique - 10 - lags,24,0.016015113081846406,12
BVSP,LOR - unique - 10 - lags,25,0.015723776974651375,13
BVSP,LOR - unique - 10 - lags,26,0.01581776973858921,13
BVSP,LOR - unique - 10 - lags,27,0.015960760183038797,12
BVSP,LOR - unique - 10 - lags,28,0.015634816674054728,12
BVSP,LOR - unique - 10 - lags,29,0.01602040056545557,13
BVSP,LOR - unique - 10 - lags,30,0.01599349487197536,14
BVSP,LOR - incremental - 10 - lags,1,0.017250778098753777,13
BVSP,LOR - incremental - 10 - lags,2,0.026803424714921347,15
BVSP,LOR - incremental - 10 - lags,3,0.017473928470650633,15
BVSP,LOR - incremental - 10 - lags,4,0.01741298990727029,14
BVSP,LOR - incremental - 10 - lags,5,0.01784710836538018,14
BVSP,LOR - incremental - 10 - lags,6,0.01968669681408471,14
BVSP,LOR - incremental - 10 - lags,7,0.016941759841026326,13
BVSP,LOR - incremental - 10 - lags,8,0.01722389689397722,12
BVSP,LOR - incremental - 10 - lags,9,0.01784461839653982,13
BVSP,LOR - incremental - 10 - lags,10,0.017790039412481716,11
BVSP,LOR - incremental - 10 - lags,11,0.017960093563652347,11
BVSP,LOR - incremental - 10 - lags,12,0.0179730678913074,14
BVSP,LOR - incremental - 10 - lags,13,0.01727647074490231,13
BVSP,LOR - incremental - 10 - lags,14,0.017187299423729797,12
BVSP,LOR - incremental - 10 - lags,15,0.017652936492402283,14
BVSP,LOR - incremental - 10 - lags,16,0.017484527756188636,13
BVSP,LOR - incremental - 10 - lags,17,0.017810938493049704,15
BVSP,LOR - incremental - 10 - lags,18,0.017391852641896337,13
BVSP,LOR - incremental - 10 - lags,19,0.01821395124024766,14
BVSP,LOR - incremental - 10 - lags,20,0.017466526861522853,13
BVSP,LOR - incremental - 10 - lags,21,0.017564530723747706,11
BVSP,LOR - incremental - 10 - lags,22,0.018203327360681684,14
BVSP,LOR - incremental - 10 - lags,23,0.017637631779572213,13
BVSP,LOR - incremental - 10 - lags,24,0.017687510071549378,12
BVSP,LOR - incremental - 10 - lags,25,0.01733610027344363,13
BVSP,LOR - incremental - 10 - lags,26,0.016923979918598668,13
BVSP,LOR - incremental - 10 - lags,27,0.020507675217556157,12
BVSP,LOR - incremental - 10 - lags,28,0.019095052405556923,12
BVSP,LOR - incremental - 10 - lags,29,0.018815434696527234,13
BVSP,LOR - incremental - 10 - lags,30,0.01742447986714828,14
BVSP,LR + KSWIN - 10 - lags,1,0.01647742484520074,13
BVSP,LR + KSWIN - 10 - lags,2,0.016000152468379637,15
BVSP,LR + KSWIN - 10 - lags,3,0.01628132397720555,15
BVSP,LR + KSWIN - 10 - lags,4,0.016249174604135778,14
BVSP,LR + KSWIN - 10 - lags,5,0.016375878457027367,14
BVSP,LR + KSWIN - 10 - lags,6,0.016466228819927205,14
BVSP,LR + KSWIN - 10 - lags,7,0.015961228886898784,13
BVSP,LR + KSWIN - 10 - lags,8,0.016792270699676107,12
BVSP,LR + KSWIN - 10 - lags,9,0.016258194623897878,13
BVSP,LR + KSWIN - 10 - lags,10,0.01758275222733856,11
BVSP,LR + KSWIN - 10 - lags,11,0.017348902146204263,11
BVSP,LR + KSWIN - 10 - lags,12,0.016025005779923777,14
BVSP,LR + KSWIN - 10 - lags,13,0.016497505525184007,13
BVSP,LR + KSWIN - 10 - lags,14,0.016580435326598367,12
BVSP,LR + KSWIN - 10 - lags,15,0.015973816220037896,14
BVSP,LR + KSWIN - 10 - lags,16,0.01682990267442573,13
BVSP,LR + KSWIN - 10 - lags,17,0.016411534921711754,15
BVSP,LR + KSWIN - 10 - lags,18,0.016248325555535383,13
BVSP,LR + KSWIN - 10 - lags,19,0.016376724923128444,14
BVSP,LR + KSWIN - 10 - lags,20,0.01720199883360691,13
BVSP,LR + KSWIN - 10 - lags,21,0.01631516968961645,11
BVSP,LR + KSWIN - 10 - lags,22,0.01621403427576668,14
BVSP,LR + KSWIN - 10 - lags,23,0.01659348585323253,13
BVSP,LR + KSWIN - 10 - lags,24,0.016564222216005852,12
BVSP,LR + KSWIN - 10 - lags,25,0.01627869879737201,13
BVSP,LR + KSWIN - 10 - lags,26,0.016665384290754027,13
BVSP,LR + KSWIN - 10 - lags,27,0.01645447484288316,12
BVSP,LR + KSWIN - 10 - lags,28,0.016170316750413895,12
BVSP,LR + KSWIN - 10 - lags,29,0.016678680918392887,13
BVSP,LR + KSWIN - 10 - lags,30,0.016870872014783257,14

